Rating(3,108,3.979187902132951)
Rating(3,25,3.979187902132951)
Rating(3,180,3.979187902132951)
Rating(3,158,3.979187902132951)
Rating(3,23,3.979187902132951)
Rating(3,99,3.979187902132951)
Rating(3,147,3.979187902132951)
Rating(3,165,3.979187902132951)
Rating(3,7,3.979187902132951)
Rating(3,205,3.979187902132951)
Rating(3,35,3.979187902132951)
Rating(3,192,3.979187902132951)
Rating(3,50,3.979187902132951)
Rating(3,155,3.979187902132951)
Rating(3,191,3.979187902132951)
Rating(3,11,3.979187902132951)
Rating(3,43,3.979187902132951)
Rating(3,91,3.979187902132951)
Rating(3,162,3.979187902132951)
Rating(3,12143,1.9895939510664755)
Rating(3,10679,1.9895939510664755)
Rating(3,9967,1.9895939510664755)
Rating(3,13319,1.9895939510664755)
Rating(3,10019,1.9895939510664755)
Rating(3,11207,1.9895939510664755)
Rating(3,10287,1.9895939510664755)
Rating(3,12211,1.9895939510664755)
Rating(3,10007,1.9895939510664755)
Rating(3,11279,1.9895939510664755)
Rating(3,10067,1.9895939510664755)
Rating(3,10159,1.9895939510664755)
Rating(3,10227,1.9895939510664755)
Rating(3,10415,1.9895939510664755)
Rating(3,11247,1.9895939510664755)
Rating(3,11787,1.9895939510664755)
Rating(3,10727,1.9895939510664755)
Rating(3,11271,1.9895939510664755)
Rating(3,10935,1.9895939510664755)
Rating(3,12883,1.9895939510664755)
Rating(3,12887,1.9895939510664755)
Rating(3,11435,1.9895939510664755)
Rating(3,12927,1.9895939510664755)
Rating(3,11591,1.9895939510664755)
Rating(3,12955,1.9895939510664755)
Rating(3,11607,1.9895939510664755)
Rating(3,13055,1.9895939510664755)
Rating(3,11631,1.9895939510664755)
Rating(3,10519,1.9895939510664755)
Rating(3,11715,1.9895939510664755)
Rating(3,13343,1.9895939510664755)
Rating(3,13379,1.9895939510664755)
Rating(3,11795,1.9895939510664755)
Rating(3,10791,1.9895939510664755)
Rating(3,11807,1.9895939510664755)
Rating(3,13551,1.9895939510664755)
Rating(3,11859,1.9895939510664755)
Rating(3,13647,1.9895939510664755)
Rating(3,14715,1.9895939510664755)
Rating(3,13695,1.9895939510664755)
Rating(3,11083,1.9895939510664755)
Rating(3,12911,1.9895939510664755)
Rating(3,11111,1.9895939510664755)
Rating(3,14003,1.9895939510664755)
Rating(3,11079,1.9895939510664755)
Rating(3,12951,1.9895939510664755)
Rating(3,9919,1.9895939510664755)
Rating(3,10031,1.9895939510664755)
Rating(3,13027,1.9895939510664755)
Rating(3,10175,1.9895939510664755)
Rating(3,10431,1.9895939510664755)
Rating(3,13075,1.9895939510664755)
Rating(3,10671,1.9895939510664755)
Rating(3,13091,1.9895939510664755)
Rating(3,10763,1.9895939510664755)
Rating(3,13131,1.9895939510664755)
Rating(3,10947,1.9895939510664755)
Rating(3,12311,1.9895939510664755)
Rating(3,12327,1.9895939510664755)
Rating(3,13427,1.9895939510664755)
Rating(3,12351,1.9895939510664755)
Rating(3,13487,1.9895939510664755)
Rating(3,12423,1.9895939510664755)
Rating(3,13511,1.9895939510664755)
Rating(3,12559,1.9895939510664755)
Rating(3,12567,1.9895939510664755)
Rating(3,13615,1.9895939510664755)
Rating(3,12607,1.9895939510664755)
Rating(3,12667,1.9895939510664755)
Rating(3,13667,1.9895939510664755)
Rating(3,12707,1.9895939510664755)
Rating(3,12743,1.9895939510664755)
Rating(3,13763,1.9895939510664755)
Rating(3,12827,1.9895939510664755)
Rating(3,13923,1.9895939510664755)
Rating(3,14723,1.9895939510664755)
Rating(3,13943,1.9895939510664755)
Rating(3,11115,1.9895939510664755)
Rating(3,10015,1.9895939510664755)
Rating(3,14043,1.9895939510664755)
Rating(3,10347,1.9895939510664755)
